nav.bearing,nav.cmdYaw,nav.snr,wpNav.state,wpNav.wpIdx,nav.gradAng,nav.gradR2,wlsCtrl.mapSize,timestamp_ms,stateEstimate.x,stateEstimate.y
-70.34288787841797,-70.554931640625,3.6316111087799072,0,0,0.0,0.0,0,31627,-0.002371442737057805,-0.0007827707449905574
-70.34288787841797,-70.554931640625,3.6316111087799072,0,0,0.0,0.0,0,31877,-0.0028071803972125053,-0.0003597565519157797
-70.34288787841797,-70.56443786621094,6.2845988273620605,0,0,0.0,0.0,0,32127,-0.00225578504614532,-0.0008179568103514612
-70.34288787841797,-70.56443786621094,6.2845988273620605,0,0,0.0,0.0,0,32377,-0.00203759060241282,-0.000863049179315567
-40.22609329223633,29.82416343688965,1.893316626548767,0,0,0.0,0.0,0,32627,-0.0030306698754429817,-0.00014488218585029244
-40.22609329223633,29.82416343688965,1.893316626548767,0,0,0.0,0.0,0,32877,-0.0028553029987961054,-0.0003957466979045421
-28.02008056640625,0.24051186442375183,3.194589853286743,0,0,0.0,0.0,0,33127,-0.0021557449363172054,-0.0008712201379239559
-28.02008056640625,0.24051186442375183,3.194589853286743,0,0,0.0,0.0,0,33377,-0.002451770706102252,-0.0008913248311728239
-28.02008056640625,-28.244382858276367,2.45048189163208,0,0,0.0,0.0,0,33627,-9.629981650505215e-05,-0.00011750181874958798
-28.02008056640625,-28.244382858276367,2.45048189163208,0,0,0.0,0.0,0,33877,0.00035090287565253675,0.000251325371209532
-28.02008056640625,-28.0376033782959,4.578131675720215,0,0,0.0,0.0,0,34127,-0.000573130208067596,-0.0002157015260308981
-28.02008056640625,-28.0376033782959,4.578131675720215,0,0,0.0,0.0,0,34377,-0.0005651991232298315,0.0001138180959969759
-28.02008056640625,-28.056245803833008,2.369309186935425,0,0,0.0,0.0,0,34627,0.0001920333452289924,-0.0003835656971205026
-28.02008056640625,-28.056245803833008,2.369309186935425,0,0,0.0,0.0,0,34877,0.00017262957408092916,0.0003649066493380815
-28.02008056640625,-0.04187269136309624,3.3160367012023926,0,0,0.0,0.0,0,35127,-0.00037348049227148294,0.00037351896753534675
-28.02008056640625,-0.04187269136309624,3.3160367012023926,0,0,0.0,0.0,0,35377,0.00042195062269456685,-0.00012341367255430669
-28.02008056640625,-0.04187269136309624,3.3160367012023926,0,0,0.0,0.0,0,35627,0.0013979196082800627,-0.0002170813240809366
-28.02008056640625,-0.10753563046455383,3.5369110107421875,0,0,0.0,0.0,0,35877,0.002817463595420122,-0.000606801884714514
-28.02008056640625,-0.10753563046455383,3.5369110107421875,0,0,0.0,0.0,0,36127,-0.0011334423907101154,-0.0008380971848964691
-28.02008056640625,0.31228047609329224,2.2798912525177,0,0,0.0,0.0,0,36377,0.0005561528960242867,0.02407367341220379
-28.02008056640625,0.31228047609329224,2.2798912525177,0,0,0.0,0.0,0,36627,0.0036820685490965843,0.04286957159638405
-28.02008056640625,7.275782585144043,2.2880616188049316,0,0,0.0,0.0,0,36877,0.006962283048778772,0.03765246272087097
-28.02008056640625,7.275782585144043,2.2880616188049316,0,0,0.0,0.0,0,37127,-0.0025948083493858576,0.020970448851585388
-28.02008056640625,6.560770034790039,2.043833017349243,0,0,0.0,0.0,0,37377,-0.0022287829779088497,0.01200041826814413
-28.02008056640625,6.560770034790039,2.043833017349243,0,0,0.0,0.0,0,37627,-0.008463598787784576,-0.010908147320151329
-55.759952545166016,-64.54998779296875,5.019955158233643,0,0,0.0,0.0,0,37877,-0.023902617394924164,-0.03364068642258644
0.0,-64.54998779296875,0.0,1,0,0.0,0.0,0,38127,-0.04737571254372597,-0.0451563335955143
0.0,-64.54998779296875,0.0,1,0,0.0,0.0,0,38377,-0.06739888340234756,-0.04117017239332199
-59.97283935546875,-51.43475341796875,10.229730606079102,2,0,0.0,0.0,1,38627,-0.09572538733482361,-0.06342420727014542
-59.97283935546875,-51.43475341796875,10.229730606079102,2,0,0.0,0.0,1,38877,-0.04260244593024254,-0.06577936559915543
-49.558799743652344,-91.92623901367188,5.853147506713867,2,0,0.0,0.0,2,39127,-0.04963923990726471,-0.04267647862434387
-49.558799743652344,-91.92623901367188,5.853147506713867,2,0,0.0,0.0,2,39377,-0.018092330545186996,0.08965640515089035
-11.24600601196289,-85.58433532714844,7.7074713706970215,3,0,0.0,0.0,3,39627,-0.08043534308671951,0.06609544903039932
-11.24600601196289,-85.58433532714844,7.7074713706970215,3,0,0.0,0.0,3,39877,-0.10230248421430588,0.012823833152651787
19.799734115600586,-53.68715286254883,10.819478988647461,3,0,0.0,0.0,4,40127,-0.10031496733427048,-0.06477107852697372
19.799734115600586,-53.68715286254883,10.819478988647461,3,0,0.0,0.0,4,40377,-0.0651153028011322,-0.15847665071487427
19.799734115600586,-53.68715286254883,10.819478988647461,3,0,0.0,0.0,4,40627,-0.03820636123418808,-0.2253168225288391
19.868053436279297,-35.978919982910156,9.320388793945312,3,0,186.83302307128906,0.9892014265060425,5,40877,0.00824732892215252,-0.26351138949394226
19.868053436279297,-35.978919982910156,9.320388793945312,3,0,186.83302307128906,0.9892014265060425,5,41127,0.06703194975852966,-0.2929973304271698
10.147306442260742,-30.4471492767334,11.35464859008789,3,0,192.9580535888672,0.9531493186950684,6,41377,0.10949180275201797,-0.29490041732788086
10.147306442260742,-30.4471492767334,11.35464859008789,3,0,192.9580535888672,0.9531493186950684,6,41627,0.14287440478801727,-0.3035579025745392
-1.5239458084106445,-37.4268798828125,10.539522171020508,3,0,276.141845703125,0.4760569930076599,7,41877,0.18460579216480255,-0.3328593671321869
-1.5239458084106445,-37.4268798828125,10.539522171020508,3,0,276.141845703125,0.4760569930076599,7,42127,0.22480939328670502,-0.3544917404651642
-13.901863098144531,-56.624267578125,17.301532745361328,3,0,246.88949584960938,0.4635438323020935,8,42377,0.25487062335014343,-0.39827269315719604
-13.901863098144531,-56.624267578125,17.301532745361328,3,0,246.88949584960938,0.4635438323020935,8,42627,0.30436503887176514,-0.4933392405509949
-5.019502639770508,-57.62725830078125,11.15449333190918,3,0,3.400799036026001,0.6860711574554443,9,42877,0.318299800157547,-0.5214815139770508
