nav.bearing,nav.cmdYaw,nav.snr,wpNav.state,wpNav.wpIdx,nav.gradAng,nav.gradR2,wlsCtrl.mapSize,timestamp_ms,stateEstimate.x,stateEstimate.y,pm.vbat
-9.558337211608887,-9.372894287109375,116.2556381225586,0,0,0.0,0.0,1,126446,0.023700818419456482,0.018489066511392593,3.098533868789673
-9.558337211608887,-9.372894287109375,116.2556381225586,0,0,0.0,0.0,1,126546,0.02417423203587532,0.019754312932491302,3.2568914890289307
-9.558337211608887,-9.372894287109375,116.2556381225586,0,0,0.0,0.0,1,126646,0.023445218801498413,0.01841232180595398,3.293841600418091
-9.558337211608887,-9.372894287109375,116.2556381225586,0,0,0.0,0.0,1,126746,0.02292647212743759,0.017825517803430557,3.304398775100708
-9.44201946258545,-8.9937744140625,35.78507614135742,0,0,0.0,0.0,1,126846,0.022865435108542442,0.016538670286536217,3.304398775100708
-9.44201946258545,-8.9937744140625,35.78507614135742,0,0,0.0,0.0,1,126946,0.022660214453935623,0.015669293701648712,3.3096773624420166
-9.44201946258545,-8.9937744140625,35.78507614135742,0,0,0.0,0.0,1,127046,0.022921208292245865,0.01630854420363903,3.3096773624420166
-9.44201946258545,-8.9937744140625,35.78507614135742,0,0,0.0,0.0,1,127146,0.023208944126963615,0.016255680471658707,3.3096773624420166
-9.44201946258545,-8.9937744140625,35.78507614135742,0,0,0.0,0.0,1,127246,0.023413799703121185,0.017025606706738472,3.3096773624420166
-9.235311508178711,-8.600433349609375,34.235618591308594,0,0,0.0,0.0,1,127346,0.02387860231101513,0.017492374405264854,3.304398775100708
-9.235311508178711,-8.600433349609375,34.235618591308594,0,0,0.0,0.0,1,127446,0.023908914998173714,0.01700657606124878,3.304398775100708
-9.235311508178711,-8.600433349609375,34.235618591308594,0,0,0.0,0.0,1,127546,0.023463085293769836,0.01678364910185337,3.304398775100708
-9.235311508178711,-8.600433349609375,34.235618591308594,0,0,0.0,0.0,1,127646,0.02342040278017521,0.01716557890176773,3.304398775100708
-9.235311508178711,-8.600433349609375,34.235618591308594,0,0,0.0,0.0,1,127746,0.02358226291835308,0.016962558031082153,3.304398775100708
