nav.bearing,nav.cmdYaw,nav.snr,wpNav.state,wpNav.wpIdx,nav.gradAng,nav.gradR2,wlsCtrl.mapSize,timestamp_ms,stateEstimate.x,stateEstimate.y,pm.vbat
3.294233798980713,1.312790870666504,39.22368621826172,0,0,0.0,0.0,5,259194,0.11720693111419678,-0.007754035759717226,3.5208210945129395
3.294233798980713,1.312790870666504,39.22368621826172,0,0,0.0,0.0,5,259294,0.11836355179548264,-0.0076507809571921825,3.5736072063446045
3.205176830291748,2.09334397315979,58.395835876464844,0,0,0.0,0.0,5,259394,0.12028241902589798,-0.006671285256743431,3.6000001430511475
3.205176830291748,2.09334397315979,58.395835876464844,0,0,0.0,0.0,5,259494,0.11987972259521484,-0.007473043166100979,3.6000001430511475
3.205176830291748,2.09334397315979,58.395835876464844,0,0,0.0,0.0,5,259594,0.11932827532291412,-0.008550344035029411,3.6000001430511475
3.205176830291748,2.09334397315979,58.395835876464844,0,0,0.0,0.0,5,259694,0.11986764520406723,-0.008482464589178562,3.6000001430511475
3.205176830291748,2.09334397315979,58.395835876464844,0,0,0.0,0.0,5,259794,0.11953737586736679,-0.008789218962192535,3.594721555709839
3.205176830291748,2.09334397315979,58.395835876464844,0,0,0.0,0.0,5,259894,0.1200406402349472,-0.008214347064495087,3.594721555709839
0.7774454355239868,-5.683135986328125,48.759700775146484,0,0,0.0,0.0,5,259994,0.12041574716567993,-0.00908916536718607,3.5894429683685303
0.7774454355239868,-5.683135986328125,48.759700775146484,0,0,0.0,0.0,5,260094,0.12010800093412399,-0.009593365713953972,3.5894429683685303
0.7774454355239868,-5.683135986328125,48.759700775146484,0,0,0.0,0.0,5,260194,0.12126494944095612,-0.008071230724453926,3.5894429683685303
0.7774454355239868,-5.683135986328125,48.759700775146484,0,0,0.0,0.0,5,260294,0.1209024116396904,-0.009492366574704647,3.5894429683685303
0.7774454355239868,-5.683135986328125,48.759700775146484,0,0,0.0,0.0,5,260394,0.12128566950559616,-0.008150284178555012,3.5894429683685303
-0.09575711190700531,-2.906646728515625,39.969234466552734,0,0,0.0,0.0,5,260494,0.12133073061704636,-0.009328756481409073,3.5894429683685303
-0.09575711190700531,-2.906646728515625,39.969234466552734,0,0,0.0,0.0,5,260594,0.121396504342556,-0.008233340457081795,3.5894429683685303
-0.09575711190700531,-2.906646728515625,39.969234466552734,0,0,0.0,0.0,5,260694,0.1215210109949112,-0.009357117116451263,3.5894429683685303
-0.09575711190700531,-2.906646728515625,39.969234466552734,0,0,0.0,0.0,5,260794,0.1217367947101593,-0.007968571037054062,3.5894429683685303
-0.09575711190700531,-2.906646728515625,39.969234466552734,0,0,0.0,0.0,5,260894,0.12173773348331451,-0.009254148229956627,3.5841643810272217
-1.5995107889175415,-5.846649169921875,59.47294235229492,0,0,0.0,0.0,5,260994,0.12102329730987549,-0.00925381388515234,3.5841643810272217
-1.5995107889175415,-5.846649169921875,59.47294235229492,0,0,0.0,0.0,5,261094,0.12204603850841522,-0.008260580711066723,3.5841643810272217
-1.5995107889175415,-5.846649169921875,59.47294235229492,0,0,0.0,0.0,5,261194,0.12194890528917313,-0.009609678760170937,3.5841643810272217
-1.5995107889175415,-5.846649169921875,59.47294235229492,0,0,0.0,0.0,5,261294,0.12206394970417023,-0.008351536467671394,3.5841643810272217
-1.5995107889175415,-5.846649169921875,59.47294235229492,0,0,0.0,0.0,5,261394,0.12251394242048264,-0.009192160330712795,3.5841643810272217
-1.5995107889175415,-5.846649169921875,59.47294235229492,0,0,0.0,0.0,5,261494,0.12175344675779343,-0.009382897056639194,3.5841643810272217
-3.511058807373047,-8.7359619140625,46.3428955078125,0,0,0.0,0.0,5,261594,0.12218596786260605,-0.007992731407284737,3.5841643810272217
-3.511058807373047,-8.7359619140625,46.3428955078125,0,0,0.0,0.0,5,261694,0.12176226079463959,-0.009141330607235432,3.5841643810272217
