nav.bearing,nav.cmdYaw,nav.snr,wpNav.state,wpNav.wpIdx,nav.gradAng,nav.gradR2,wlsCtrl.mapSize,timestamp_ms,stateEstimate.x,stateEstimate.y,nav.snr0,nav.snr1,nav.snr2,nav.snr3,nav.snr4,nav.snr5,nav.snr6,nav.snr7
22.66703224182129,23.360857009887695,7.741414546966553,0,0,0.0,0.0,0,15678,0.00038011232390999794,7.483745139325038e-05,150,774,185,228,172,270,161,212
22.66703224182129,23.360857009887695,7.741414546966553,0,0,0.0,0.0,0,15778,0.00015709330909885466,-0.0004602656699717045,150,774,185,228,172,270,161,212
22.66703224182129,23.360857009887695,7.741414546966553,0,0,0.0,0.0,0,15878,-2.5315221137134358e-05,-0.0005058888345956802,150,774,185,228,172,270,161,212
22.66703224182129,23.360857009887695,7.741414546966553,0,0,0.0,0.0,0,15978,-0.0008012589532881975,0.0004168818413745612,150,774,185,228,172,270,161,212
0.0,0.001700767781585455,0.7629531025886536,0,0,0.0,0.0,1,16078,0.0022189507726579905,0.00010899749759119004,48,46,50,56,50,69,62,76
0.0,0.001700767781585455,0.7629531025886536,0,0,0.0,0.0,1,16178,0.0011585630709305406,-0.0007765281479805708,48,46,50,56,50,69,62,76
0.0,0.001700767781585455,0.7629531025886536,0,0,0.0,0.0,1,16278,3.374668813194148e-05,0.0008430678863078356,48,46,50,56,50,69,62,76
0.0,0.001700767781585455,0.7629531025886536,0,0,0.0,0.0,1,16378,-0.000282134918961674,0.0008556447573937476,48,46,50,56,50,69,62,76
0.0,0.001700767781585455,0.7629531025886536,0,0,0.0,0.0,1,16478,0.0010500175412744284,0.0008423915132880211,48,46,50,56,50,69,62,76
0.0,0.006695569027215242,0.8184031844139099,0,0,0.0,0.0,2,16578,0.0008001541718840599,0.00030880587291903794,67,76,62,57,81,49,55,78
0.0,0.006695569027215242,0.8184031844139099,0,0,0.0,0.0,2,16678,0.0010218837996944785,0.00031029179808683693,67,76,62,57,81,49,55,78
0.0,0.006695569027215242,0.8184031844139099,0,0,0.0,0.0,2,16778,0.001253629568964243,-0.00042151776142418385,67,76,62,57,81,49,55,78
0.0,0.006695569027215242,0.8184031844139099,0,0,0.0,0.0,2,16878,0.0019285139860585332,4.72428509965539e-05,67,76,62,57,81,49,55,78
0.0,0.006695569027215242,0.8184031844139099,0,0,0.0,0.0,2,16978,0.000976314942818135,-0.0004305074689909816,67,76,62,57,81,49,55,78
0.0,0.006695569027215242,0.8184031844139099,0,0,0.0,0.0,2,17078,0.0007342341705225408,0.0002584987669251859,67,76,62,57,81,49,55,78
0.0,0.010070331394672394,1.8883817195892334,0,0,0.0,0.0,2,17178,0.0009755424107424915,-0.0004635439836420119,87,188,101,173,112,130,87,136
0.0,0.010070331394672394,1.8883817195892334,0,0,0.0,0.0,2,17278,0.00119200989138335,-0.00045925553422421217,87,188,101,173,112,130,87,136
0.0,0.010070331394672394,1.8883817195892334,0,0,0.0,0.0,2,17378,0.0019467973615974188,0.000228565011639148,87,188,101,173,112,130,87,136
0.0,0.010070331394672394,1.8883817195892334,0,0,0.0,0.0,2,17478,0.00097085622837767,-0.0004630356270354241,87,188,101,173,112,130,87,136
0.0,0.010070331394672394,1.8883817195892334,0,0,0.0,0.0,2,17578,0.0016598381334915757,0.0002082123392028734,87,188,101,173,112,130,87,136
0.0,-0.0020898417569696903,1.5853092670440674,0,0,0.0,0.0,2,17678,0.0019370911177247763,-1.2886629519925918e-05,99,120,128,135,158,119,96,117
0.0,-0.0020898417569696903,1.5853092670440674,0,0,0.0,0.0,2,17778,5.9086185501655564e-05,0.000722839729860425,99,120,128,135,158,119,96,117
0.0,-0.0020898417569696903,1.5853092670440674,0,0,0.0,0.0,2,17878,-0.0033520893193781376,-0.0017333633732050657,99,120,128,135,158,119,96,117
0.0,-0.0020898417569696903,1.5853092670440674,0,0,0.0,0.0,2,17978,-0.003494700649753213,-0.00047797017032280564,99,120,128,135,158,119,96,117
0.0,-0.0020898417569696903,1.5853092670440674,0,0,0.0,0.0,2,18078,-0.0023312135599553585,-0.006392624694854021,99,120,128,135,158,119,96,117
0.0,-0.22612904012203217,1.1011109352111816,0,0,0.0,0.0,3,18178,-0.006434365175664425,-0.008871370926499367,91,79,110,66,92,99,100,68
0.0,-0.22612904012203217,1.1011109352111816,0,0,0.0,0.0,3,18278,-0.007921927608549595,-0.007765702437609434,91,79,110,66,92,99,100,68
0.0,-0.22612904012203217,1.1011109352111816,0,0,0.0,0.0,3,18378,-0.0007149556768126786,-0.008390852250158787,91,79,110,66,92,99,100,68
0.0,-0.22612904012203217,1.1011109352111816,0,0,0.0,0.0,3,18478,0.011342670768499374,-0.00045641817268915474,91,79,110,66,92,99,100,68
0.0,-0.22612904012203217,1.1011109352111816,0,0,0.0,0.0,3,18578,0.021298736333847046,0.025495130568742752,91,79,110,66,92,99,100,68
0.0,-0.22612904012203217,1.1011109352111816,0,0,0.0,0.0,3,18678,0.015057817101478577,0.027933524921536446,91,79,110,66,92,99,100,68
24.18276596069336,25.997346878051758,1.0406864881515503,0,0,0.0,0.0,3,18778,0.01225315872579813,0.02102033421397209,81,79,84,77,83,104,65,94
24.18276596069336,25.997346878051758,1.0406864881515503,0,0,0.0,0.0,3,18878,0.013054531998932362,0.009015029296278954,81,79,84,77,83,104,65,94
24.18276596069336,25.997346878051758,1.0406864881515503,0,0,0.0,0.0,3,18978,0.010267176665365696,-0.0008459020755253732,81,79,84,77,83,104,65,94
24.18276596069336,25.997346878051758,1.0406864881515503,0,0,0.0,0.0,3,19078,0.012152639217674732,-0.004173282068222761,81,79,84,77,83,104,65,94
24.18276596069336,25.997346878051758,1.0406864881515503,0,0,0.0,0.0,3,19178,0.011390133760869503,-0.0062033142894506454,81,79,84,77,83,104,65,94
24.18276596069336,27.868318557739258,1.5624762773513794,0,0,0.0,0.0,3,19278,0.013071194291114807,-0.0033597166184335947,109,156,110,156,117,112,115,143
24.18276596069336,27.868318557739258,1.5624762773513794,0,0,0.0,0.0,3,19378,0.017537301406264305,-0.00047171645564958453,109,156,110,156,117,112,115,143
24.18276596069336,27.868318557739258,1.5624762773513794,0,0,0.0,0.0,3,19478,0.01864740066230297,-0.0061393664218485355,109,156,110,156,117,112,115,143
24.18276596069336,27.868318557739258,1.5624762773513794,0,0,0.0,0.0,3,19578,0.014917434193193913,-0.006766622420400381,109,156,110,156,117,112,115,143
24.18276596069336,27.868318557739258,1.5624762773513794,0,0,0.0,0.0,3,19678,0.017858773469924927,0.003295782022178173,109,156,110,156,117,112,115,143
24.18276596069336,28.20528793334961,1.8299033641815186,0,0,0.0,0.0,3,19778,0.017564674839377403,0.003360828384757042,99,110,94,67,102,90,79,182
24.18276596069336,28.20528793334961,1.8299033641815186,0,0,0.0,0.0,3,19878,0.01083767507225275,0.007108809892088175,99,110,94,67,102,90,79,182
24.18276596069336,28.20528793334961,1.8299033641815186,0,0,0.0,0.0,3,19978,0.0014783376827836037,0.0015097458381205797,99,110,94,67,102,90,79,182
24.18276596069336,28.20528793334961,1.8299033641815186,0,0,0.0,0.0,3,20078,-0.005985243711620569,0.003756103105843067,99,110,94,67,102,90,79,182
24.18276596069336,28.20528793334961,1.8299033641815186,0,0,0.0,0.0,3,20178,-0.012340138666331768,0.0006802005227655172,99,110,94,67,102,90,79,182
24.18276596069336,28.20528793334961,1.8299033641815186,0,0,0.0,0.0,3,20278,-0.018724679946899414,3.419340282562189e-05,118,88,108,102,153,106,78,155
24.18276596069336,27.803985595703125,1.554090142250061,0,0,0.0,0.0,3,20378,-0.023473482578992844,0.0035851127468049526,118,88,108,102,153,106,78,155
24.18276596069336,27.803985595703125,1.554090142250061,0,0,0.0,0.0,3,20478,-0.02075251378118992,0.0023334508296102285,118,88,108,102,153,106,78,155
24.18276596069336,27.803985595703125,1.554090142250061,0,0,0.0,0.0,3,20578,-0.01975414901971817,0.005177151877433062,118,88,108,102,153,106,78,155
24.18276596069336,27.803985595703125,1.554090142250061,0,0,0.0,0.0,3,20678,-0.015180401504039764,-0.0004219489055685699,118,88,108,102,153,106,78,155
24.18276596069336,27.803985595703125,1.554090142250061,0,0,0.0,0.0,3,20778,-0.009499633684754372,-0.008868311531841755,118,88,108,102,153,106,78,155
24.18276596069336,4.4513936042785645,1.3015823364257812,0,0,0.0,0.0,3,20878,-0.009005608968436718,-0.009172922931611538,75,65,75,85,99,100,61,130
24.18276596069336,4.4513936042785645,1.3015823364257812,0,0,0.0,0.0,3,20978,-0.018157247453927994,-0.015343465842306614,75,65,75,85,99,100,61,130
24.18276596069336,4.4513936042785645,1.3015823364257812,0,0,0.0,0.0,3,21078,-0.023018762469291687,-0.019002139568328857,75,65,75,85,99,100,61,130
