nav.bearing,nav.cmdYaw,nav.snr,wpNav.state,wpNav.wpIdx,nav.gradAng,nav.gradR2,wlsCtrl.mapSize,timestamp_ms,stateEstimate.x,stateEstimate.y,nav.snr0,nav.snr1,nav.snr2,nav.snr3,nav.snr4,nav.snr5,nav.snr6,nav.snr7
15.13518238067627,21.39281463623047,2.2746684551239014,0,0,0.0,0.0,1,22873,-1.2656602848437615e-05,-6.517705332953483e-05,137,227,120,143,153,122,142,101
15.13518238067627,21.39281463623047,2.2746684551239014,0,0,0.0,0.0,1,22973,-0.0007862840429879725,-0.0010933129815384746,137,227,120,143,153,122,142,101
15.13518238067627,21.39281463623047,2.2746684551239014,0,0,0.0,0.0,1,23073,-0.0007430774276144803,-0.0004600656102411449,137,227,120,143,153,122,142,101
15.13518238067627,21.39281463623047,2.2746684551239014,0,0,0.0,0.0,1,23173,-0.0004630728508345783,-0.0001624298602109775,137,227,120,143,153,122,142,101
15.13518238067627,21.39281463623047,2.2746684551239014,0,0,0.0,0.0,1,23273,0.0005394151667132974,0.0001942666422110051,137,227,120,143,153,122,142,101
15.252775192260742,15.47774600982666,6.581586837768555,0,0,0.0,0.0,2,23373,0.0005627180216833949,0.00019707789761014283,199,658,332,351,363,403,314,146
15.252775192260742,15.47774600982666,6.581586837768555,0,0,0.0,0.0,2,23473,0.000555750506464392,-0.00016098367632366717,199,658,332,351,363,403,314,146
15.252775192260742,15.47774600982666,6.581586837768555,0,0,0.0,0.0,2,23573,0.0005412485916167498,0.00022055637964513153,199,658,332,351,363,403,314,146
15.252775192260742,15.47774600982666,6.581586837768555,0,0,0.0,0.0,2,23673,0.0005385212716646492,0.0006225039251148701,199,658,332,351,363,403,314,146
15.252775192260742,15.47774600982666,6.581586837768555,0,0,0.0,0.0,2,23773,-0.00011546823952812701,-0.0004562041722238064,199,658,332,351,363,403,314,146
14.634405136108398,13.084548950195312,6.521978378295898,0,0,0.0,0.0,3,23873,0.0005445396527647972,-9.975056309485808e-05,168,652,179,235,202,263,209,157
14.634405136108398,13.084548950195312,6.521978378295898,0,0,0.0,0.0,3,23973,-0.0009527515503577888,-0.0012704083928838372,168,652,179,235,202,263,209,157
14.634405136108398,13.084548950195312,6.521978378295898,0,0,0.0,0.0,3,24073,0.00048722937935963273,0.00025594444014132023,168,652,179,235,202,263,209,157
14.634405136108398,13.084548950195312,6.521978378295898,0,0,0.0,0.0,3,24173,-0.0006547107477672398,-0.0008907660376280546,168,652,179,235,202,263,209,157
14.634405136108398,13.084548950195312,6.521978378295898,0,0,0.0,0.0,3,24273,0.00042735549504868686,-5.1374012400629e-05,168,652,179,235,202,263,209,157
14.634405136108398,13.084548950195312,6.521978378295898,0,0,0.0,0.0,3,24373,-0.0004916515317745507,-2.264681097585708e-05,168,652,179,235,202,263,209,157
15.45664119720459,17.2182559967041,3.1236424446105957,0,0,0.0,0.0,3,24473,-0.0007576640346087515,-2.715576920309104e-05,124,312,95,121,119,112,126,138
15.45664119720459,17.2182559967041,3.1236424446105957,0,0,0.0,0.0,3,24573,-0.00023283215705305338,0.00034151875297538936,124,312,95,121,119,112,126,138
15.45664119720459,17.2182559967041,3.1236424446105957,0,0,0.0,0.0,3,24673,0.00043589971028268337,3.586805541999638e-05,124,312,95,121,119,112,126,138
15.45664119720459,17.2182559967041,3.1236424446105957,0,0,0.0,0.0,3,24773,0.00043053561239503324,2.521407077438198e-05,124,312,95,121,119,112,126,138
15.45664119720459,17.2182559967041,3.1236424446105957,0,0,0.0,0.0,3,24873,-0.0005343702505342662,1.2606523341673892e-05,124,312,95,121,119,112,126,138
