nav.snr,nav.bearing,wpNav.state,wpNav.wpIdx,stateEstimate.x,stateEstimate.y,stateEstimate.yaw,timestamp_ms
10.273508071899414,-7.748935222625732,0,0,-0.0024902280420064926,-0.0005101053975522518,-0.03356729447841644,9429
10.273508071899414,-7.748935222625732,0,0,-0.0013643529964610934,-0.00029603304574266076,-0.030315373092889786,9679
33.29896926879883,-7.199307441711426,0,0,-0.0018357578665018082,-0.0012393769575282931,-0.03145017847418785,9929
33.29896926879883,-7.199307441711426,0,0,-0.0017346868989989161,0.0005803372478112578,-0.02941039204597473,10179
28.148664474487305,-7.768710613250732,0,0,-0.0012635713210329413,6.199861672939733e-05,-0.029265807941555977,10429
28.148664474487305,-7.768710613250732,0,0,-0.0019243633141741157,-0.0006463371682912111,-0.0375455878674984,10679
14.16926383972168,-6.5590057373046875,0,0,-0.0017783690709620714,0.00047927172272466123,-0.04064919054508209,10929
14.16926383972168,-6.5590057373046875,0,0,-0.0021199164912104607,-0.00046473267138935626,-0.04282047972083092,11179
10.516966819763184,-6.826852321624756,0,0,-0.0019054051954299212,-0.00019789182988461107,-0.04322010651230812,11429
10.516966819763184,-6.826852321624756,0,0,-0.0019094839226454496,-0.000852354452945292,-0.0480179488658905,11679
10.516966819763184,-6.826852321624756,0,0,-0.0019415946444496512,-0.00022158447245601565,-0.04856495186686516,11929
14.860342979431152,-6.517852783203125,0,0,-0.0023263145703822374,-0.0004733036330435425,-0.05264284834265709,12179
14.860342979431152,-6.517852783203125,0,0,-0.0011891957838088274,0.00042970682261511683,-0.06171787157654762,12429
32.28033447265625,-6.039736747741699,0,0,-0.0023453072644770145,-0.0005360472132451832,-0.05970936268568039,12679
32.28033447265625,-6.039736747741699,0,0,-0.0017435867339372635,-0.00043410516809672117,-0.06329803168773651,12929
17.150442123413086,-7.787600517272949,0,0,0.0006653220043517649,-0.0012588886311277747,-0.07549145072698593,13179
17.150442123413086,-7.787600517272949,0,0,0.0031457836739718914,-0.0043720039539039135,-0.05395618453621864,13429
11.763477325439453,-5.657522201538086,0,0,0.024706903845071793,-0.012421960942447186,0.22681200504302979,13679
11.763477325439453,-5.657522201538086,0,0,0.05709744617342949,-0.02062932960689068,0.7761443257331848,13929
9.915260314941406,-5.466756820678711,0,0,0.07827496528625488,-0.02653198130428791,1.51143479347229,14179
9.915260314941406,-5.466756820678711,0,0,0.08576630055904388,-0.028531000018119812,2.3181798458099365,14429
12.791288375854492,-7.199474811553955,0,0,0.09281453490257263,-0.0318792425096035,3.224174737930298,14679
12.791288375854492,-7.199474811553955,0,0,0.08952029794454575,-0.03396158292889595,4.260348320007324,14929
0.0,0.0,1,0,0.09452929347753525,-0.030683938413858414,5.4896063804626465,15179
0.0,0.0,1,0,0.10093040019273758,-0.022747769951820374,6.830145835876465,15429
29.468088150024414,-15.59002685546875,2,0,0.12237925827503204,-0.019835200160741806,8.369452476501465,15679
29.468088150024414,-15.59002685546875,2,0,0.1449763923883438,-0.01868410035967827,10.044225692749023,15929
18.004411697387695,-15.2888822555542,3,0,0.18087002635002136,-0.0157414972782135,11.838106155395508,16179
18.004411697387695,-15.2888822555542,3,0,0.21281279623508453,-0.014103421941399574,13.58513069152832,16429
31.52520179748535,-13.543988227844238,1,1,0.24234504997730255,-0.009066353552043438,15.128865242004395,16679
31.52520179748535,-13.543988227844238,1,1,0.2867763936519623,-0.009525195695459843,16.421314239501953,16929
9.66103458404541,31.09173583984375,2,1,0.32118886709213257,-0.007351288106292486,17.525062561035156,17179
9.66103458404541,31.09173583984375,2,1,0.3521423041820526,-0.0031768418848514557,18.596635818481445,17429
14.49950885772705,25.55919647216797,2,1,0.374223530292511,-0.00029876758344471455,19.62116050720215,17679
14.49950885772705,25.55919647216797,2,1,0.3987376391887665,0.005824210587888956,20.70828628540039,17929
18.152639389038086,24.144826889038086,2,1,0.4420188367366791,0.007496971171349287,21.868051528930664,18179
18.152639389038086,24.144826889038086,2,1,0.5101735591888428,0.03497805446386337,23.09447479248047,18429
18.152639389038086,24.144826889038086,2,1,0.5705013275146484,0.0361458994448185,24.331872940063477,18679
14.344318389892578,23.096635818481445,2,1,0.6487629413604736,0.04489094018936157,25.58015251159668,18929
14.344318389892578,23.096635818481445,2,1,0.6728352904319763,0.03932156786322594,26.886646270751953,19179
11.350982666015625,21.85503387451172,2,1,0.6931034922599792,0.03467808663845062,28.188968658447266,19429
11.350982666015625,21.85503387451172,2,1,0.730690598487854,0.032946355640888214,29.47068977355957,19679
13.954675674438477,20.832836151123047,2,1,0.7642460465431213,0.027395520359277725,30.852663040161133,19929
13.954675674438477,20.832836151123047,2,1,0.8073764443397522,0.011977935209870338,32.28525924682617,20179
20.400026321411133,13.174095153808594,3,1,0.850584864616394,-0.004229417536407709,33.77396011352539,20429
20.400026321411133,13.174095153808594,3,1,0.9035000205039978,-0.017784282565116882,35.3372688293457,20679
16.95992088317871,14.611856460571289,3,1,0.9618532061576843,-0.0068647852167487144,36.96762466430664,20929
16.95992088317871,14.611856460571289,3,1,1.0099445581436157,0.001586809055879712,38.64853286743164,21179
13.982863426208496,15.022459030151367,3,1,1.0553550720214844,0.015646161511540413,40.37113952636719,21429
13.982863426208496,15.022459030151367,3,1,1.0989532470703125,0.025855062529444695,42.09989547729492,21679
12.057441711425781,15.357799530029297,3,1,1.1533645391464233,0.04100634530186653,43.89330291748047,21929
12.057441711425781,15.357799530029297,3,1,1.1932966709136963,0.04291591793298721,45.53644943237305,22179
11.123504638671875,12.16554069519043,3,1,1.251365303993225,0.048585690557956696,47.256500244140625,22429
11.123504638671875,12.16554069519043,3,1,1.3033021688461304,0.0613052099943161,48.9973258972168,22679
21.439411163330078,8.840899467468262,6,2,1.3606106042861938,0.07077274471521378,50.7671012878418,22929
21.439411163330078,8.840899467468262,6,2,1.4131791591644287,0.0722985565662384,52.57000732421875,23179
21.439411163330078,8.840899467468262,6,2,1.4593361616134644,0.08709092438220978,54.386783599853516,23429
0.0,0.0,6,2,1.5143072605133057,0.10685321688652039,56.21916198730469,23679
0.0,0.0,6,2,1.5654815435409546,0.12988579273223877,58.05337905883789,23929
0.0,0.0,6,2,1.6218955516815186,0.1612970530986786,59.880340576171875,24179
0.0,0.0,6,2,1.671082615852356,0.17810195684432983,61.77090072631836,24429
0.0,0.0,6,2,1.7210736274719238,0.1953224241733551,63.617218017578125,24679
0.0,0.0,6,2,1.7733111381530762,0.19680838286876678,65.43080139160156,24929
0.0,0.0,6,2,1.8228545188903809,0.20543961226940155,67.36300659179688,25179
0.0,0.0,6,2,1.886179804801941,0.21469439566135406,69.341796875,25429
0.0,0.0,6,2,1.9253349304199219,0.224922776222229,71.4005355834961,25679
0.0,0.0,6,2,1.977064847946167,0.23249530792236328,73.54175567626953,25929
0.0,0.0,6,2,2.021714687347412,0.25279170274734497,75.81729125976562,26179
0.0,0.0,6,2,2.066232204437256,0.270693838596344,78.25334167480469,26429
0.0,0.0,6,2,2.1037347316741943,0.304684579372406,80.85523986816406,26679
