time,x,y,z,yaw,setpoint_x,setpoint_y,setpoint_z,setpoint_yaw,setpoint_speed,current_speed,mode,distance_to_target
1.568,-3.611723,-1.301134,1.292426,-0.000000,-3.611723,-1.301134,2.000000,-0.000000,0.000,0.000,IDLE,11.027
1.600,-3.611722,-1.301134,1.312585,-0.000000,-3.611722,-1.301134,2.000000,-0.000000,0.000,0.000,IDLE,11.027
1.632,-3.611722,-1.301133,1.332548,-0.000000,-3.611722,-1.301133,2.000000,-0.000000,0.000,0.000,IDLE,11.027
1.664,-3.611721,-1.301132,1.352317,-0.000000,-3.611721,-1.301132,2.000000,-0.000000,0.000,0.000,IDLE,11.027
1.696,-3.611721,-1.301132,1.371894,-0.000000,-3.611721,-1.301132,2.000000,-0.000000,0.000,0.000,IDLE,11.027
1.728,-3.611720,-1.301131,1.391281,-0.000000,-3.611720,-1.301131,2.000000,-0.000000,0.000,0.000,IDLE,11.027
1.760,-3.611720,-1.301130,1.410481,0.000000,-3.611720,-1.301130,2.000000,0.000000,0.000,0.000,IDLE,11.027
1.792,-3.611719,-1.301130,1.429494,0.000000,-3.611719,-1.301130,2.000000,0.000000,0.000,0.000,IDLE,11.027
1.824,-3.611718,-1.301129,1.448323,0.000000,-3.611718,-1.301129,2.000000,0.000000,0.000,0.000,IDLE,11.027
1.856,-3.611718,-1.301129,1.466970,0.000000,-3.611718,-1.301129,2.000000,0.000000,0.000,0.000,IDLE,11.027
1.888,-3.611717,-1.301128,1.485437,0.000000,-3.611717,-1.301128,2.000000,0.000000,0.000,0.000,IDLE,11.027
1.920,-3.611717,-1.301127,1.503724,0.000000,-3.611717,-1.301127,2.000000,0.000000,0.000,0.000,IDLE,11.027
1.952,-3.611716,-1.301127,1.521834,0.000000,-3.611716,-1.301127,2.000000,0.000000,0.000,0.000,IDLE,11.027
1.984,-3.611716,-1.301126,1.539769,0.000000,-3.611716,-1.301126,2.000000,0.000000,0.000,0.000,IDLE,11.027
2.016,-3.611716,-1.301126,1.557530,0.000000,-3.611716,-1.301126,2.000000,0.000000,0.000,0.000,IDLE,11.027
2.048,-3.611715,-1.301126,1.575120,0.000000,-3.611715,-1.301126,2.000000,0.000000,0.000,0.000,IDLE,11.027
2.080,-3.611715,-1.301125,1.592538,0.000000,-3.611715,-1.301125,2.000000,0.000000,0.000,0.000,IDLE,11.027
2.112,-3.611714,-1.301125,1.609788,0.000000,-3.611714,-1.301125,2.000000,0.000000,0.000,0.000,IDLE,11.027
2.144,-3.611714,-1.301125,1.626870,0.000000,-3.611714,-1.301125,2.000000,0.000000,0.000,0.000,IDLE,11.027
