time,x,y,z,yaw_deg,cmd_yaw_deg,forward_speed,bearing_angle,bearing_valid,bearing_weight,grad_angle,grad_mag,grad_valid,grad_weight,map_size,total_light,dist_to_target
1.216,-3.611726,-1.301138,1.057207,-0.0000,-0.0000,0.000,54.8877,1,1.00,0.0000,0.0000,0,0.00,0,614.342,11.0265
1.248,-3.611726,-1.301138,1.079613,-0.0000,-0.0000,0.000,54.8877,1,1.00,0.0000,0.0000,0,0.00,0,614.442,11.0265
1.280,-3.611726,-1.301137,1.101826,-0.0000,-0.0000,0.000,54.8876,1,1.00,0.0000,0.0000,0,0.00,0,614.533,11.0265
1.312,-3.611726,-1.301137,1.123839,-0.0000,-0.0000,0.000,54.8876,1,1.00,0.0000,0.0000,0,0.00,0,614.616,11.0265
1.344,-3.611725,-1.301137,1.145645,-0.0000,-0.0000,0.000,54.8875,1,1.00,0.0000,0.0000,0,0.00,0,614.690,11.0265
1.376,-3.611725,-1.301137,1.167237,-0.0000,-0.0000,0.000,54.8875,1,1.00,0.0000,0.0000,0,0.00,0,614.756,11.0265
1.408,-3.611725,-1.301136,1.188617,-0.0000,-0.0000,0.000,54.8874,1,1.00,0.0000,0.0000,0,0.00,0,614.814,11.0265
1.440,-3.611724,-1.301136,1.209788,-0.0000,-0.0000,0.000,54.8874,1,1.00,0.0000,0.0000,0,0.00,0,614.865,11.0265
1.472,-3.611724,-1.301136,1.230752,-0.0000,-0.0000,0.000,54.8874,1,1.00,0.0000,0.0000,0,0.00,0,614.908,11.0265
1.504,-3.611724,-1.301135,1.251511,-0.0000,-0.0000,0.000,54.8873,1,1.00,0.0000,0.0000,0,0.00,0,614.944,11.0265
1.536,-3.611723,-1.301135,1.272069,-0.0000,-0.0000,0.000,54.8873,1,1.00,0.0000,0.0000,0,0.00,0,614.972,11.0265
1.568,-3.611723,-1.301134,1.292426,-0.0000,-0.0000,0.000,54.8873,1,1.00,0.0000,0.0000,0,0.00,0,614.994,11.0265
1.600,-3.611722,-1.301134,1.312585,-0.0000,-0.0000,0.000,54.8873,1,1.00,0.0000,0.0000,0,0.00,0,615.009,11.0265
1.632,-3.611722,-1.301133,1.332548,-0.0000,-0.0000,0.000,54.8873,1,1.00,0.0000,0.0000,0,0.00,0,615.018,11.0265
1.664,-3.611721,-1.301132,1.352317,-0.0000,-0.0000,0.000,54.8872,1,1.00,0.0000,0.0000,0,0.00,0,615.020,11.0265
1.696,-3.611721,-1.301132,1.371894,-0.0000,-0.0000,0.000,54.8872,1,1.00,0.0000,0.0000,0,0.00,0,615.016,11.0265
1.728,-3.611720,-1.301131,1.391281,-0.0000,-0.0000,0.000,54.8872,1,1.00,0.0000,0.0000,0,0.00,0,615.006,11.0265
1.760,-3.611720,-1.301130,1.410481,0.0000,0.0000,0.000,54.8872,1,1.00,0.0000,0.0000,0,0.00,0,614.991,11.0265
1.792,-3.611719,-1.301130,1.429494,0.0000,0.0000,0.000,54.8872,1,1.00,0.0000,0.0000,0,0.00,0,614.970,11.0265
1.824,-3.611718,-1.301129,1.448323,0.0000,0.0000,0.000,54.8872,1,1.00,0.0000,0.0000,0,0.00,0,614.943,11.0265
1.856,-3.611718,-1.301129,1.466970,0.0000,0.0000,0.000,54.8873,1,1.00,0.0000,0.0000,0,0.00,0,614.911,11.0265
1.888,-3.611717,-1.301128,1.485437,0.0000,0.0000,0.000,54.8873,1,1.00,0.0000,0.0000,0,0.00,0,614.874,11.0265
1.920,-3.611717,-1.301127,1.503724,0.0000,0.0000,0.000,54.8873,1,1.00,0.0000,0.0000,0,0.00,0,614.833,11.0265
1.952,-3.611716,-1.301127,1.521834,0.0000,0.0000,0.000,54.8873,1,1.00,0.0000,0.0000,0,0.00,0,614.786,11.0265
1.984,-3.611716,-1.301126,1.539769,0.0000,0.0000,0.000,54.8873,1,1.00,0.0000,0.0000,0,0.00,0,614.735,11.0265
2.016,-3.611716,-1.301126,1.557530,0.0000,0.0000,0.000,54.8874,1,1.00,0.0000,0.0000,0,0.00,0,614.679,11.0265
2.048,-3.611715,-1.301126,1.575120,0.0000,0.0000,0.000,54.8874,1,1.00,0.0000,0.0000,0,0.00,0,614.619,11.0265
2.080,-3.611715,-1.301125,1.592538,0.0000,0.0000,0.000,54.8874,1,1.00,0.0000,0.0000,0,0.00,0,614.555,11.0265
2.112,-3.611714,-1.301125,1.609788,0.0000,0.0000,0.000,54.8874,1,1.00,0.0000,0.0000,0,0.00,0,614.486,11.0265
2.144,-3.611714,-1.301125,1.626870,0.0000,0.0000,0.000,54.8875,1,1.00,0.0000,0.0000,0,0.00,0,614.414,11.0265
2.176,-3.611714,-1.301124,1.643786,0.0000,0.0000,0.000,54.8875,1,1.00,0.0000,0.0000,0,0.00,0,614.338,11.0265
2.208,-3.611714,-1.301124,1.660538,0.0000,0.0000,0.000,54.8875,1,1.00,0.0000,0.0000,0,0.00,0,614.258,11.0265
